"id","title","institution","instructor","description","section","url","created_at","updated_at"
"7045","1.103 Civil Engineering Materials Laboratory","Massachusetts Institute of Technology","Dr. John Germaine","This course introduces the concepts, techniques, and devices used to measure engineering properties of materials. There is an emphasis on measurement of load-deformation characteristics and failure modes of both natural and fabricated materials. Weekly experiments include data collection, data analysis, and interpretation and presentation of results.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-103-civil-engineering-materials-laboratory-spring-2004","2013-12-22 17:01:40.487796","2013-12-22 17:01:40.487796"
"7046","3.094 Materials in Human Experience","Massachusetts Institute of Technology","Prof. Heather Lechtman","This course examines the ways in which people in ancient and contemporary societies have selected, evaluated, and used materials of nature, transforming them to objects of material culture. Some examples are: glass in ancient Egypt and Rome; sounds and colors of powerful metals in Mesoamerica; cloth and fiber technologies in the Inca empire. It also explores ideological and aesthetic criteria often influential in materials development. Laboratory/workshop sessions provide hands-on experience with materials discussed in class. This course complements 3.091.","Materials Science and Engineering","http://ocw.mit.edu/courses/materials-science-and-engineering/3-094-materials-in-human-experience-spring-2004","2013-12-22 17:01:40.504797","2013-12-22 17:01:40.504797"
"7047","SPE G 623 - Psychosocial Aspects of Visual Impairment","University of Massachusetts - Boston","Valerie Haven , Ph.D.","This course investigates the psychosocial aspects of vision loss. Coping techniques and issues of self-esteem are explored, along with principles of self-determination. Other topics include the psychosocial aspects of personal   life management such as orientation and mobility, use of volunteers, sexuality, and the Americans with Disabilities Act. Psychosocial issues specific to people from diverse cultures are also addressed.","Special Education","http://ocw.umb.edu/speg/speg-623","2013-12-22 17:01:40.522798","2013-12-22 17:01:40.522798"
"7048","21L.006 American Literature","Massachusetts Institute of Technology","Prof. Wyn Kelley","This is a HASS-D CI course. Like other communications-intensive courses in the humanities, arts, and social sciences, it allows students to produce 20 pages of polished writing with careful attention to revision. It also offers substantial opportunities for oral expression, through presentations of written work, student-led discussion, and class participation. The class has a low enrollment that ensures maximum attention to student writing and opportunity for oral expression, and a writing fellow/tutor is available for consultation on drafts and revisions.","Literature","http://ocw.mit.edu/courses/literature/21l-006-american-literature-fall-2002","2013-12-22 17:01:40.539799","2013-12-22 17:01:40.539799"
"7049","HST.590 / HST.502 Biomedical Engineering Seminar Series: Topics in Medical Ethics and Responsible Conduct in Research","Massachusetts Institute of Technology","Dr. Jonathan Rosen","This seminar based course explores techniques for recognizing, analyzing, and resolving ethical dilemmas facing healthcare professionals and biomedical researchers in today's highly regulated environment. Guest lectures by practicing clinicians, technologists, researchers, and regulators will include case studies, interactive small group discussions, and role-playing simulations. Professional conduct topics will include authorship, conflict of interest, data acquisition and management, and the protection of human subjects and animals involved in research programs.","Health Sciences and Technology","http://ocw.mit.edu/courses/health-sciences-and-technology/hst-590-biomedical-engineering-seminar-series-topics-in-medical-ethics-and-responsible-conduct-in-research-fall-2005-spring-2006","2013-12-22 17:01:40.556800","2013-12-22 17:01:40.556800"
"7050","11.201 Gateway: Planning Action","Massachusetts Institute of Technology","Prof. Diane Davis
                                            Prof. Langley Keyes
                                            Prof. Lawrence Susskind","This class introduces first semester MCP students to the persistent themes and challenges facing planners. The goals of this class are:
to excite students about their chosen profession;
to offer a theoretical framework for thinking about the kinds of interventions that planners are expected to take;
to introduce students to some of the most interesting and challenging theoretical debates in the planning field; and
to press students to think about the best way of using their time to ensure their own personal professional development.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-201-gateway-planning-action-fall-2002","2013-12-22 17:01:40.572801","2013-12-22 17:01:40.572801"
"7051","21L.488 Contemporary Literature: British Novels Now","Massachusetts Institute of Technology","Prof. Sarah Brouillette","What is Britain now? Its metropolises are increasingly multicultural. Its hold over its distant colonies is a thing of the past. Its sway within the global political arena is weak. Its command over Northern Ireland, Wales, and Scotland is broken or threatened. What have novelists made of all this? What are they writing as the old empire fades away and as new social and political formations emerge? These are the questions that will concern us in this course.","Literature","http://ocw.mit.edu/courses/literature/21l-488-contemporary-literature-british-novels-now-spring-2007","2013-12-22 17:01:40.586802","2013-12-22 17:01:40.586802"
"7052","21L.012 Forms of Western Narrative","Massachusetts Institute of Technology","Prof. James Cain","This class will investigate the ways in which the formal aspects of Western storytelling in various media have shaped both fantasies and perceptions, making certain understandings of experience possible through the selection, arrangement, and processing of narrative material. Surveying the field chronologically across the major narrative genres and sub-genres from Homeric epic through the novel and across media to include live performance, film, and video games, we will be examining the ways in which new ideologies and psychological insights become available through the development of various narrative techniques and new technologies. Emphasis will be placed on the generic conventions of story-telling as well as on literary and cultural issues, the role of media and modes of transmission, the artistic significance of the chosen texts and their identity as anthropological artifacts whose conventions and assumptions are rooted in particular times, places, and technologies. Authors will include: Homer, Sophocles, Herodotus, Christian evangelists, Marie de France, Cervantes, La Clos, Poe, Lang, Cocteau, Disney-Pixar, and Maxis-Electronic Arts, with theoretical readings in Propp, Bakhtin, Girard, Freud, and Marx.","Literature","http://ocw.mit.edu/courses/literature/21l-012-forms-of-western-narrative-spring-2004","2013-12-22 17:01:40.601803","2013-12-22 17:01:40.601803"
"7053","CMS.610 / CMS.922 Media Industries and Systems","Massachusetts Institute of Technology","Dr. Christopher Weaver","This course examines the interplay of art, science, and commerce shaping the production, marketing, distribution, and consumption of contemporary media. It combines perspectives on media industries and systems with an awareness of the creative process, the audience, and trends shaping content. There will be invited discussions with industry experts in various subject areas. Class projects will encourage students to think through the challenges of producing media in an industry context. CMS.610 is for undergraduate credit, whereas CMS.922 is for graduate credit. Though the requirements for graduates are more stringent, the course is intended for both undergraduate and graduate students.","Comparative Media Studies","http://ocw.mit.edu/courses/comparative-media-studies/cms-610-media-industries-and-systems-spring-2006","2013-12-22 17:01:40.618804","2013-12-22 17:01:40.618804"
"7054","T173_1 Design","The Open University","","This unit looks at the process of design – from assessing the complexity of design as an activity, to exposing the difficulty in making general conclusions about how designers work. You will be able to identify innovation in a wide variety of designed objects and evaluate the impact of this innovation.","Engineering and Technology","http://openlearn.open.ac.uk/course/view.php?name=T173_1","2013-12-22 17:01:40.633805","2013-12-22 17:01:40.633805"
"7055","21H.104J / 11.015J Riots, Strikes, and Conspiracies in American History","Massachusetts Institute of Technology","Prof. Pauline Maier
                                            Prof. Robert Fogelson","This course uses readings and discussions to focus on a series of short-term events that shed light on American politics, culture, and social organization. It emphasizes finding ways to make sense of these complicated, highly traumatic events, and on using them to understand larger processes of change in American history. The class also gives students experience with primary documentation research through a term paper assignment.","History","http://ocw.mit.edu/courses/history/21h-104j-riots-strikes-and-conspiracies-in-american-history-fall-2004","2013-12-22 17:01:40.651806","2013-12-22 17:01:40.651806"
"7056","16.120 Compressible Flow","Massachusetts Institute of Technology","Prof. Wesley Harris","The course begins with the basics of compressible fluid dynamics, including governing equations, thermodynamic context and characteristic parameters. The next large block of lectures covers quasi-one-dimensional flow, followed by a discussion of disturbances and unsteady flows. The second half of the course comprises gas dynamic discontinuities, including shock waves and detonations, and concludes with another large block dealing with two-dimensional flows, both linear and non-linear.","Aeronautics and Astronautics","http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-120-compressible-flow-spring-2003","2013-12-22 17:01:40.667807","2013-12-22 17:01:40.667807"
"7057","15.668 People and Organizations","Massachusetts Institute of Technology","Prof. Thomas A. Kochan","This course examines the historical evolution and current human and organizational contexts in which scientists, engineers and other professionals work. It outlines today's major challenges facing the management profession and uses interactive exercises, simulations and problems to develop critical skills in negotiations, teamwork and leadership. It also introduces concepts and tools to analyze work and leadership experiences in optional undergraduate fieldwork projects.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-668-people-and-organizations-fall-2005","2013-12-22 17:01:40.685808","2013-12-22 17:01:40.685808"
"7058","6.972 Game Theory and Mechanism Design","Massachusetts Institute of Technology","Prof. Asu Ozdaglar","This course is offered to graduates and is an introduction to fundamentals of game theory and mechanism design with motivations drawn from various applications including distributed control of wireline and wireless communication networks, incentive-compatible/dynamic resource allocation, and pricing. Emphasis is placed on the foundations of the theory, mathematical tools, as well as modeling and the equilibrium notions in different environments. Topics covered include: normal form games, learning in games, supermodular games, potential games, dynamic games, subgame perfect equilibrium, bargaining, repeated games, auctions, mechanism design, cooperative game theory, network and congestion games, and price of anarchy.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-972-game-theory-and-mechanism-design-spring-2005","2013-12-22 17:01:40.700809","2013-12-22 17:01:40.700809"
"7060","14.731 Economic History","Massachusetts Institute of Technology","Richard A. Hornbeck","This course is a survey of world economic history, and it introduces economics students to the subject matter and methodology of economic history. It is designed to expand the range of empirical settings in students' research by drawing upon historical material and long-run data. Topics are chosen to show a wide variety of historical experience and illuminate the process of industrialization. The emphasis will be on questions related to labor markets and economic growth.","Economics","http://ocw.mit.edu/courses/economics/14-731-economic-history-spring-2009","2013-12-22 17:01:40.730810","2013-12-22 17:01:40.730810"
"7061","12.517 Dynamics of Complex Systems: Biological and Environmental Coevolution Preceding the Cambrian Explosion","Massachusetts Institute of Technology","Prof. Daniel Rothman","This seminar will focus on dynamical change in biogeochemical cycles accompanying early animal evolution -- beginning with the time of the earliest known microscopic animal fossils (~600 million years ago) and culminating (~100 million years later) with the rapid diversification of marine animals known as the ""Cambrian explosion."" Recent work indicates that this period of intense biological evolution was both a cause and an effect of changes in global biogeochemical cycles. We will seek to identify and quantify such coevolutionary changes. Lectures and discussions will attempt to unite the perspectives of quantitative theory, organic geochemistry, and evolutionary biology.","Earth, Atmospheric, and Planetary Sciences","http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-517-dynamics-of-complex-systems-biological-and-environmental-coevolution-preceding-the-cambrian-explosion-spring-2005","2013-12-22 17:01:40.752812","2013-12-22 17:01:40.752812"
"7062","Calculus Online Textbook","Massachusetts Institute of Technology","Prof. Gilbert Strang","Published in 1991 and still in print from Wellesley-Cambridge Press, the book is a useful resource for educators and self-learners alike. It is well organized, covers single variable and multivariable calculus in depth, and is rich with applications. There is also an online Instructor's Manual and a student Study Guide. Prof. Strang has also developed a related series of videos, Highlights of Calculus, on the basic ideas of calculus.","Resource Home","http://ocw.mit.edu/resources/res-18-001-calculus-online-textbook-spring-2005","2013-12-22 17:01:40.769813","2013-12-22 17:01:40.769813"
"7063","ESD.33 Systems Engineering","Massachusetts Institute of Technology","Prof. Daniel Frey","Systems engineering is an interdisciplinary approach and means to enable the realization of successful systems. It focuses on defining customer needs and required functionality early in the development cycle, documenting requirements, then proceeding with design synthesis and reliability improvement while considering the complete problem including operations, performance, test, manufacturing, cost, and schedule. This course emphasizes the links of systems engineering to fundamentals of decision theory, statistics, and optimization. The course also introduces the most current, commercially successful techniques for systems engineering.","Engineering Systems Division","http://ocw.mit.edu/courses/engineering-systems-division/esd-33-systems-engineering-summer-2004","2013-12-22 17:01:40.783813","2013-12-22 17:01:40.783813"
"7064","11.016J / 4.211J The Once and Future City","Massachusetts Institute of Technology","Prof. Anne Whiston Spirn","What is a city? What shapes it? How does its history influence future development? How do physical form and institutions vary from city to city and how are these differences significant? How are cities changing and what is their future? This course will explore these and other questions, with emphasis upon twentieth-century American cities. A major focus will be on the physical form of cities - from downtown and inner-city to suburb and edge city - and the processes that shape them.
The class Web site can be found here: The City.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-016j-the-once-and-future-city-spring-2006","2013-12-22 17:01:40.801814","2013-12-22 17:01:40.801814"
"7065","Baltimore Food Systems: A Case Study of Urban Food Environments","Johns Hopkins Bloomberg School of Public Health","Roni Neff and Anne Palmer","This seminar-style course challenges students to look closely at the environment of Baltimore City's complex food systems and to consider what it would take to improve these systems to assure access for all to nutritious, adequate, affordable and sustainably produced food.","Department of Environmental Health Sciences","http://ocw.jhsph.edu/courses/baltimorefoodsystems/","2013-12-22 17:01:40.816815","2013-12-22 17:01:40.816815"
"7066","Principles of Population Change","Johns Hopkins Bloomberg School of Public Health","Nan Astone","Provides students with a basic understanding of the science of demography and health implications of major population issues in the contemporary world.","Department of Population, Family and Reproductive Health","http://ocw.jhsph.edu/courses/principlespopulationchange/","2013-12-22 17:01:40.833816","2013-12-22 17:01:40.833816"
"7067","8.022 / ESG.8022 Physics II: Electricity and Magnetism","Massachusetts Institute of Technology","Michael Shaw","This course runs parallel to 8.02, but assumes that students have some knowledge of vector calculus. The class introduces Maxwell's equations, in both differential and integral form, along with electrostatic and magnetic vector potential, and the properties of dielectrics and magnetic materials.
This class was taught by an undergraduate in the Experimental Study Group (ESG). Student instructors are paired with ESG faculty members, who advise and oversee the students' teaching efforts.","Physics","http://ocw.mit.edu/courses/physics/8-022-physics-ii-electricity-and-magnetism-fall-2006","2013-12-22 17:01:40.867818","2013-12-22 17:01:40.867818"
"7068","9.01 Neuroscience and Behavior","Massachusetts Institute of Technology","Prof. Gerald Schneider","This course covers the relation of structure and function at various levels of neuronal integration. Topics include functional neuroanatomy and neurophysiology, sensory and motor systems, centrally programmed behavior, sensory systems, sleep and dreaming, motivation and reward, emotional displays of various types, ""higher functions"" and the neocortex, and neural processes in learning and memory.","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-01-neuroscience-and-behavior-fall-2003","2013-12-22 17:01:40.883819","2013-12-22 17:01:40.883819"
"7069","21F.705 Oral Communication in Spanish","Massachusetts Institute of Technology","Prof. Douglas Morgenstern","A second-year intermediate course that includes vocabulary enhancement and limited review of selected points of grammar. Focuses on listening comprehension and speaking, with group activities, discussions and individual oral reports based on readings, films, music and art.","Foreign Languages and Literatures","http://ocw.mit.edu/courses/foreign-languages-and-literatures/21f-705-oral-communication-in-spanish-spring-2004","2013-12-22 17:01:40.900820","2013-12-22 17:01:40.900820"
"7070","16.851 Satellite Engineering","Massachusetts Institute of Technology","Prof. David Miller
                                            Col. John Keesee","Satellite Engineering introduces students to subsystem design in engineering spacecraft. The course presents characteristic subsystems, such as power, structure, communication and control, and analyzes the engineering trades necessary to integrate subsystems successfully into a satellite. Discussions of spacecraft operating environment and orbital mechanics help students to understand the functional requirements and key design parameters for satellite systems.","Aeronautics and Astronautics","http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-851-satellite-engineering-fall-2003","2013-12-22 17:01:40.955823","2013-12-22 17:01:40.955823"
"7072","6.331 Advanced Circuit Techniques","Massachusetts Institute of Technology","Prof. James Roberge
                                            Dr. Kent Lundberg(Contributor)","Following a brief classroom discussion of relevant principles, each student in this course completes the paper design of several advanced circuits such as multiplexers, sample-and-holds, gain-controlled amplifiers, analog multipliers, digital-to-analog or analog-to-digital converters, and power amplifiers. One of each student's designs is presented to the class, and one may be built and evaluated. Associated laboratory assignments emphasize the use of modern analog building blocks. This course is worth 12 Engineering Design Points.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-331-advanced-circuit-techniques-spring-2002","2013-12-22 17:01:40.990825","2013-12-22 17:01:40.990825"
"7073","6.436J / 15.085J Fundamentals of Probability","Massachusetts Institute of Technology","Prof. John Tsitsiklis","This is a course on the fundamentals of probability geared towards first or second-year graduate students who are interested in a rigorous development of the subject. The course covers most of the topics in MIT course 6.431 but at a faster pace and in more depth. Topics covered include: probability spaces and measures; discrete and continuous random variables; conditioning and independence; multivariate normal distribution; abstract integration, expectation, and related convergence results; moment generating and characteristic functions; Bernoulli and Poisson processes; finite-state Markov chains; convergence notions and their relations; and limit theorems. Familiarity with elementary notions in probability and real analysis is desirable.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-436j-fundamentals-of-probability-fall-2005","2013-12-22 17:01:41.007826","2013-12-22 17:01:41.007826"
"7074","22.313J / 2.59J / 10.536J Thermal Hydraulics in Power Technology","Massachusetts Institute of Technology","Prof. Jacopo Buongiorno","This course covers the thermo-fluid dynamic phenomena and analysis methods for conventional and nuclear power stations. Specific topics include: kinematics and dynamics of two-phase flows; steam separation; boiling, instabilities, and critical conditions; single-channel transient analysis; multiple channels connected at plena; loop analysis including single and two-phase natural circulation; and subchannel analysis.","Nuclear Science and Engineering","http://ocw.mit.edu/courses/nuclear-engineering/22-313j-thermal-hydraulics-in-power-technology-spring-2007","2013-12-22 17:01:41.028827","2013-12-22 17:01:41.028827"
"7075","6.243J / 2.156J / 16.337J Dynamics of Nonlinear Systems","Massachusetts Institute of Technology","Prof. Alexandre Megretski","This course provides an introduction to nonlinear deterministic dynamical systems. Topics covered include: nonlinear ordinary differential equations; planar autonomous systems; fundamental theory: Picard iteration, contraction mapping theorem, and Bellman-Gronwall lemma; stability of equilibria by Lyapunov's first and second methods; feedback linearization; and application to nonlinear circuits and control systems.","Electrical Engineering and Computer Science","http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-243j-dynamics-of-nonlinear-systems-fall-2003","2013-12-22 17:01:41.042828","2013-12-22 17:01:41.042828"
"7076","18.336 Numerical Methods for Partial Differential Equations","Massachusetts Institute of Technology","Dr. Benjamin Seibold","This graduate-level course is an advanced introduction to applications and theory of numerical methods for solution of differential equations. In particular, the course focuses on physically-arising partial differential equations, with emphasis on the fundamental ideas underlying various methods.","Mathematics","http://ocw.mit.edu/courses/mathematics/18-336-numerical-methods-for-partial-differential-equations-spring-2009","2013-12-22 17:01:41.058829","2013-12-22 17:01:41.058829"
"7077","15.974 Practical Leadership","Massachusetts Institute of Technology","Pat BentleySenior Lecturer","Practical Leadership is an interactive seminar where students receive repeated coaching and real-time feedback on their own leadership capabilities from their peers and the instructor.  The course is structured around a set of readings.  However, the key component is each student's own self-assessment.  These self-assessments are done by the students in the first week of the semester. The areas for improvement that the students identify are then targeted in the weekly role plays that are customized for each student in the class.  The goal of the class is for each student to increase his or her own leadership abilities through an ongoing cycle of practice, feedback and reflection.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-974-practical-leadership-fall-2004","2013-12-22 17:01:41.073830","2013-12-22 17:01:41.073830"
"7078","4.493 Emergent Materials II","Massachusetts Institute of Technology","Prof. John Fernandez","This course will focus on providing students with the tools needed to practice responsible architecture in a contemporary context. It will familiarize students with the materials currently used in responsible practice, as well as the material properties most relevant to assembly. The course will also introduce students to materials that are untested but hold promise for future usage. Finally, the course will challenge students to refine their understanding of responsible or sustainable design practice by looking at the evolution of those ideas within the field of architecture.","Architecture","http://ocw.mit.edu/courses/architecture/4-493-emergent-materials-ii-spring-2005","2013-12-22 17:01:41.089831","2013-12-22 17:01:41.089831"
"7079","15.066J / 2.851J / 3.83J System Optimization and Analysis for Manufacturing","Massachusetts Institute of Technology","Prof. Stephen Graves
                                            Prof. Jérémie Gallien","One objective of 15.066J is to introduce modeling, optimization and simulation, as it applies to the study and analysis of manufacturing systems for decision support. The introduction of optimization models and algorithms provide a framework to think about a wide range of issues that arise in manufacturing systems. The second objective is to expose students to a wide range of applications for these methods and models, and to integrate this material with their introduction to operations management.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-066j-system-optimization-and-analysis-for-manufacturing-summer-2003","2013-12-22 17:01:41.107832","2013-12-22 17:01:41.107832"
"7080","20.309 / 2.673J Biological Engineering II: Instrumentation and Measurement","Massachusetts Institute of Technology","Mr. Maxim Shusteff
                                            Prof. Peter So
                                            Prof. Scott Manalis","This course covers sensing and measurement for quantitative molecular/cell/tissue analysis, in terms of genetic, biochemical, and biophysical properties. Methods include light and fluorescence microscopies; electro-mechanical probes such as atomic force microscopy, laser and magnetic traps, and MEMS devices; and the application of statistics, probability and noise analysis to experimental data. Enrollment preference is given to juniors and seniors.","Biological Engineering","http://ocw.mit.edu/courses/biological-engineering/20-309-biological-engineering-ii-instrumentation-and-measurement-fall-2006","2013-12-22 17:01:41.125833","2013-12-22 17:01:41.125833"
"7082","7.22 / 7.72 Developmental Biology","Massachusetts Institute of Technology","Prof. Hazel Sive
                                            Prof. Martha Constantine-Paton","This graduate and advanced undergraduate level lecture and literature discussion course covers the current understanding of the molecular mechanisms that regulate animal development. Evolutionary mechanisms are emphasized as well as the discussion of relevant diseases. Vertebrate (mouse, chick, frog, fish) and invertebrate (fly, worm) models are covered. Specific topics include formation of early body plan, cell type determination, organogenesis, morphogenesis, stem cells, cloning, and issues in human development.","Biology","http://ocw.mit.edu/courses/biology/7-22-developmental-biology-fall-2005","2013-12-22 17:01:41.157835","2013-12-22 17:01:41.157835"
"7083","11.225 Argumentation and Communication","Massachusetts Institute of Technology","Prof. Cherie Abbanat","This Communication and Argumentation seminar is an intensive writing workshop that focuses on argumentation and communication. Students learn to write and present their ideas in cogent, persuasive arguments and other analytical frameworks. Reading and writing assignments and other exercises stress the connections between clear thinking, critical reading, and effective writing.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-225-argumentation-and-communication-fall-2006","2013-12-22 17:01:41.173836","2013-12-22 17:01:41.173836"
"7084","4.170 / 4.171 Ecuador Workshop","Massachusetts Institute of Technology","Prof. Jan Wampler","This is a project to assist in the design, drawing, modeling and hopefully constructing of a small Community Children's Center near Guayaquil, Ecuador. For the last year, Nicki Lehrer, from MIT's Aero/Astro Department, has been organizing efforts to build the project. The goal of the workshop is to provide her with a full fleshed out design for the community center so it can be built in the summer of 2007.","Architecture","http://ocw.mit.edu/courses/architecture/4-170-ecuador-workshop-fall-2006","2013-12-22 17:01:41.187837","2013-12-22 17:01:41.187837"
"7085","DD208_3 ‘Problem’ populations, ‘problem’ places","The Open University","","This unit looks deeper into the entanglements of welfare, crime and society. It encourages you to think through these entanglements through a focus on ‘problem populations and problem places’. It includes treatment of the victims of Hurricane Katrina that hit the US in 2007, and also of the governance of urban populations in the context of Britain (council estates) and France (banlieue).","Social Sciences","http://openlearn.open.ac.uk/course/view.php?name=DD208_3","2013-12-22 17:01:41.207838","2013-12-22 17:01:41.207838"
"7086","7.342 Systems Biology: Stochastic Processes and Biological Robustness","Massachusetts Institute of Technology","Dr. Jeff Gore
                                            Dr. Arjun Raj","In this seminar, we will discuss some of the main themes that have arisen in the field of systems biology, including the concepts of robustness, stochastic cell-to-cell variability, and the evolution of molecular interactions within complex networks.
This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.","Biology","http://ocw.mit.edu/courses/biology/7-342-systems-biology-stochastic-processes-and-biological-robustness-fall-2008","2013-12-22 17:01:41.226839","2013-12-22 17:01:41.226839"
"7087","20.320 Biomolecular Kinetics and Cell Dynamics","Massachusetts Institute of Technology","Prof. Douglas Lauffenburger
                                            Prof. Forest White","This class covers analysis of kinetics and dynamics of molecular and cellular processes across a hierarchy of scales, including intracellular, extracellular, and cell population levels; a spectrum of biotechnology applications are also taken into consideration. Topics include gene regulation networks; nucleic acid hybridization; signal transduction pathways; and cell populations in tissues and bioreactors. Emphasis is placed on experimental methods, quantitative analysis, and computational modeling.","Biological Engineering","http://ocw.mit.edu/courses/biological-engineering/20-320-biomolecular-kinetics-and-cell-dynamics-spring-2006","2013-12-22 17:01:41.241840","2013-12-22 17:01:41.241840"
"7088","17.509 Social Movements in Comparative Perspective","Massachusetts Institute of Technology","Prof. Melissa Nobles","This course seeks to provide students with a general understanding of the form of collective action known as the social movement. Our task will be guided by the close examination of several twentieth century social movements in the United States. We will read about the U.S. civil rights, the unemployed workers', welfare rights, pro-choice / pro-life and gay rights movements. We will compare and contrast certain of these movements with their counterparts in other countries. For all, we will identify the reasons for their successes and failures.","Political Science","http://ocw.mit.edu/courses/political-science/17-509-social-movements-in-comparative-perspective-spring-2005","2013-12-22 17:01:41.254840","2013-12-22 17:01:41.254840"
"7089","16.512 Rocket Propulsion","Massachusetts Institute of Technology","Prof. Manuel Martinez-Sanchez","This class focuses on chemical rocket propulsion systems for launch, orbital, and interplanetary flight. It studies the modeling of solid, liquid-bipropellant, and hybrid rocket engines. Thermochemistry, prediction of specific impulse, and nozzle flows including real gas and kinetic effects will also be covered. Other topics to be covered include structural constraints, propellant feed systems, turbopumps, and combustion processes in solid, liquid, and hybrid rockets.","Aeronautics and Astronautics","http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-512-rocket-propulsion-fall-2005","2013-12-22 17:01:41.267841","2013-12-22 17:01:41.267841"
"7090","9.916-A Probability and Causality in Human Cognition","Massachusetts Institute of Technology","Prof. Joshua Tenenbaum","Probability theory captures a number of essential characteristics of human cognition, including aspects of perception, reasoning, belief revision, and learning. Expressions of degree of belief were used in language long before people began codifying the laws of probability theory. This course explores the history and debates over codifying the laws of probability, how probability theory applies to specific cognitive processes, how it relates to the human understanding of causality, and how new computational approaches to causal modeling provide a framework for understanding human probabilistic reasoning.
This class is suitable for advanced undergraduates or graduate students specializing in cognitive science, artificial intelligence, and related fields.","Brain and Cognitive Sciences","http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-916-a-probability-and-causality-in-human-cognition-spring-2003","2013-12-22 17:01:41.282842","2013-12-22 17:01:41.282842"
"7091","Social and Behavioral Foundations of Primary Health Care","Johns Hopkins Bloomberg School of Public Health","Bill Brieger","Aims at providing you with the knowledge and skills needed to diagnose (understand) community, individual, and organizational behaviors and change processes in developing countries and in cross-cultural settings as a foundation for planning culturally appropriate primary health care (PHC) in the context of the ecological model of health behavior.
","International Health","http://ocw.jhsph.edu/courses/SocialBehavioralFoundations/","2013-12-22 17:01:41.296843","2013-12-22 17:01:41.296843"
"7092","1.201J / 11.545J / ESD.210J Transportation Systems Analysis: Demand and Economics","Massachusetts Institute of Technology","Michael Frumin(Teaching Assistant)
                                            Prof. Moshe Ben-Akiva","The main objective of this course is to give broad insight into the different facets of transportation systems, while providing a solid introduction to transportation demand and cost analyses. As part of the core in the Master of Science in Transportation program, the course will not focus on a specific transportation mode but will use the various modes to apply the theoretical and analytical concepts presented in the lectures and readings.
Introduces transportation systems analysis, stressing demand and economic aspects. Covers the key principles governing transportation planning, investment, operations and maintenance. Introduces the microeconomic concepts central to transportation systems. Topics covered include economic theories of the firm, the consumer, and the market, demand models, discrete choice analysis, cost models and production functions, and pricing theory. Application to transportation systems include congestion pricing, technological change, resource allocation, market structure and regulation, revenue forecasting, public and private transportation finance, and project evaluation; covering urban passenger transportation, freight, aviation and intelligent transportation systems.","Civil and Environmental Engineering","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-201j-transportation-systems-analysis-demand-and-economics-fall-2008","2013-12-22 17:01:41.310844","2013-12-22 17:01:41.310844"
"7093","11.368 Environmental Justice","Massachusetts Institute of Technology","Prof. JoAnn Carmin","This class explores the foundations of the environmental justice movement, current and emerging issues, and the application of environmental justice analysis to environmental policy and planning. It examines claims made by diverse groups along with the policy and civil society responses that address perceived inequity and injustice. While focused mainly on the United States, international issues and perspectives are also considered.","Urban Studies and Planning","http://ocw.mit.edu/courses/urban-studies-and-planning/11-368-environmental-justice-fall-2004","2013-12-22 17:01:41.322844","2013-12-22 17:01:41.322844"
"7094","15.822 Strategic Marketing Measurement","Massachusetts Institute of Technology","Prof. Drazen Prelec","Marketing research may be divided into methods that emphasize understanding ""the customer"" and methods that emphasize understanding ""the market."" This course (15.822) deals with the market. The companion course (15.821) deals with the customer.
The course will teach you how to write, conduct and analyze a marketing research survey. The emphasis will be on discovering market structure and segmentation, but you can pursue other project applications.
A major objective of the course is to give you some ""hands-on"" exposure to analysis techniques that are widely used in consulting and marketing research factor analysis, perceptual mapping, conjoint, and cluster analysis). These techniques used to be considered advanced but now involve just a few keystrokes on most stat software packages.
The course assumes familiarity with basic probability, statistics, and multiple linear regression.","Sloan School of Management","http://ocw.mit.edu/courses/sloan-school-of-management/15-822-strategic-marketing-measurement-fall-2002","2013-12-22 17:01:41.337845","2013-12-22 17:01:41.337845"
